"id","send_date","estimated_age","age_range","channel","coupon","clicked","last_step","nb_units","order_value"
1,2019-04-12,"59","46-60","SMS",2,0,"received",0,0
2,2019-04-08,"27","18-30","Email",2,0,"received",0,0
3,2019-04-05,"74","60+","Email",2,0,"received",0,0
4,2019-04-21,"32","31-45","SMS",2,0,"received",0,0
5,2019-04-28,"42","31-45","Email",2,0,"received",0,0
6,2019-04-02,"25","18-30","Email",4,0,"received",0,0
7,2019-04-06,"26","18-30","Email",2,0,"received",0,0
8,2019-04-03,"47","46-60","Email",6,0,"received",0,0
9,2019-04-05,"38","31-45","Email",6,0,"received",0,0
10,2019-04-14,"20","18-30","SMS",6,0,"received",0,0
11,2019-04-29,"18","18-30","Email",2,0,"received",0,0
12,2019-04-25,"22","18-30","SMS",6,0,"received",0,0
13,2019-04-05,"31","31-45","SMS",4,0,"received",0,0
14,2019-04-29,"48","46-60","Email",4,0,"received",0,0
15,2019-04-28,"37","31-45","SMS",2,0,"received",0,0
16,2019-04-19,"58","46-60","Email",2,0,"received",0,0
17,2019-04-11,"20","18-30","Email",4,0,"received",0,0
18,2019-04-10,"41","31-45","SMS",4,0,"received",0,0
19,2019-04-12,"41","31-45","SMS",2,0,"received",0,0
20,2019-04-14,"19","18-30","Email",4,0,"received",0,0
21,2019-04-07,"39","31-45","SMS",6,0,"received",0,0
22,2019-04-07,"28","18-30","Email",4,0,"received",0,0
23,2019-04-10,"44","31-45","Email",2,0,"received",0,0
24,2019-04-28,"42","31-45","Email",4,0,"received",0,0
25,2019-04-12,"30","18-30","Email",4,0,"received",0,0
26,2019-04-08,"43","31-45","Email",2,0,"received",0,0
27,2019-04-19,"37","31-45","Email",2,1,"bounced",0,0
28,2019-04-04,"49","46-60","SMS",6,0,"received",0,0
29,2019-04-03,"33","31-45","Email",2,0,"received",0,0
30,2019-04-22,"42","31-45","SMS",6,0,"received",0,0
31,2019-04-30,"36","31-45","Email",6,0,"received",0,0
32,2019-04-23,"42","31-45","SMS",2,0,"received",0,0
33,2019-04-21,"34","31-45","Email",2,0,"received",0,0
34,2019-04-07,"33","31-45","Email",6,0,"received",0,0
35,2019-04-07,"30","18-30","SMS",2,0,"received",0,0
36,2019-04-26,"20","18-30","Email",2,0,"received",0,0
37,2019-04-02,"65","60+","SMS",2,0,"received",0,0
38,2019-04-24,"59","46-60","SMS",4,0,"received",0,0
39,2019-04-30,"44","31-45","Email",6,0,"received",0,0
40,2019-04-30,"46","46-60","Email",2,0,"received",0,0
41,2019-04-07,"29","18-30","SMS",2,0,"received",0,0
42,2019-04-25,"28","18-30","Email",4,0,"received",0,0
43,2019-04-30,"56","46-60","SMS",4,0,"received",0,0
44,2019-04-09,"56","46-60","Email",2,0,"received",0,0
45,2019-04-17,"35","31-45","SMS",2,0,"received",0,0
46,2019-04-24,"27","18-30","Email",2,0,"received",0,0
47,2019-04-21,"43","31-45","Email",2,0,"received",0,0
48,2019-04-20,"75","60+","SMS",2,0,"received",0,0
49,2019-04-09,"23","18-30","SMS",2,0,"received",0,0
50,2019-04-09,"47","46-60","SMS",2,0,"received",0,0
51,2019-04-11,"29","18-30","SMS",4,0,"received",0,0
52,2019-04-21,"55","46-60","Email",4,1,"bounced",0,0
53,2019-04-26,"40","31-45","SMS",2,1,"added to cart",0,0
54,2019-04-20,"71","60+","SMS",4,0,"received",0,0
55,2019-04-03,"57","46-60","SMS",2,0,"received",0,0
56,2019-04-15,"43","31-45","SMS",2,0,"received",0,0
57,2019-04-10,"28","18-30","Email",4,0,"received",0,0
58,2019-04-25,"34","31-45","SMS",2,0,"received",0,0
59,2019-04-29,"19","18-30","Email",6,0,"received",0,0
60,2019-04-17,"34","31-45","SMS",2,0,"received",0,0
61,2019-04-04,"26","18-30","Email",2,0,"received",0,0
62,2019-04-18,"45","31-45","Email",6,0,"received",0,0
63,2019-04-23,"43","31-45","Email",2,0,"received",0,0
64,2019-04-01,"41","31-45","Email",4,0,"received",0,0
65,2019-04-09,"40","31-45","SMS",2,1,"bounced",0,0
66,2019-04-24,"37","31-45","Email",2,0,"received",0,0
67,2019-04-03,"48","46-60","SMS",4,0,"received",0,0
68,2019-04-26,"26","18-30","SMS",4,0,"received",0,0
69,2019-05-01,"43","31-45","Email",2,0,"received",0,0
70,2019-04-27,"48","46-60","SMS",2,0,"received",0,0
71,2019-04-25,"24","18-30","Email",2,1,"purchased",1,38
72,2019-04-27,"32","31-45","SMS",6,0,"received",0,0
73,2019-04-14,"19","18-30","SMS",6,0,"received",0,0
74,2019-04-07,"50","46-60","Email",2,0,"received",0,0
75,2019-04-17,"39","31-45","SMS",2,0,"received",0,0
76,2019-04-18,"42","31-45","Email",4,0,"received",0,0
77,2019-04-20,"51","46-60","SMS",2,0,"received",0,0
78,2019-04-13,"67","60+","Email",2,0,"received",0,0
79,2019-04-03,"62","60+","SMS",2,0,"received",0,0
80,2019-04-21,"38","31-45","SMS",2,0,"received",0,0
81,2019-04-18,"52","46-60","Email",2,0,"received",0,0
82,2019-04-26,"19","18-30","Email",6,0,"received",0,0
83,2019-04-03,"25","18-30","SMS",2,0,"received",0,0
84,2019-04-11,"56","46-60","SMS",4,0,"received",0,0
85,2019-04-14,"41","31-45","Email",6,0,"received",0,0
86,2019-04-20,"31","31-45","Email",2,0,"received",0,0
87,2019-04-30,"34","31-45","SMS",2,1,"saw review",0,0
88,2019-04-10,"43","31-45","Email",2,0,"received",0,0
89,2019-04-01,"40","31-45","Email",6,0,"received",0,0
90,2019-04-26,"40","31-45","SMS",2,0,"received",0,0
91,2019-04-11,"58","46-60","Email",6,0,"received",0,0
92,2019-04-16,"40","31-45","SMS",6,0,"received",0,0
93,2019-05-01,"29","18-30","SMS",4,0,"received",0,0
94,2019-04-11,"53","46-60","SMS",2,0,"received",0,0
95,2019-04-03,"44","31-45","SMS",4,0,"received",0,0
96,2019-04-21,"58","46-60","SMS",2,0,"received",0,0
97,2019-04-05,"28","18-30","Email",2,0,"received",0,0
98,2019-04-02,"47","46-60","SMS",2,0,"received",0,0
99,2019-04-18,"73","60+","Email",4,0,"received",0,0
100,2019-04-17,"53","46-60","Email",2,0,"received",0,0
101,2019-04-10,"40","31-45","Email",2,0,"received",0,0
102,2019-04-26,"68","60+","Email",2,0,"received",0,0
103,2019-04-05,"34","31-45","SMS",4,0,"received",0,0
104,2019-04-27,"52","46-60","Email",2,0,"received",0,0
105,2019-04-04,"26","18-30","SMS",4,0,"received",0,0
106,2019-04-13,"23","18-30","Email",4,1,"added to cart",0,0
107,2019-04-26,"34","31-45","SMS",2,0,"received",0,0
108,2019-04-30,"25","18-30","SMS",2,0,"received",0,0
109,2019-04-13,"34","31-45","Email",2,0,"received",0,0
110,2019-04-08,"59","46-60","Email",2,0,"received",0,0
111,2019-04-26,"31","31-45","SMS",2,1,"added to cart",0,0
112,2019-04-26,"72","60+","Email",2,0,"received",0,0
113,2019-04-01,"37","31-45","Email",2,1,"saw review",0,0
114,2019-04-19,"43","31-45","Email",2,0,"received",0,0
115,2019-04-07,"37","31-45","Email",2,0,"received",0,0
116,2019-04-12,"18","18-30","SMS",2,0,"received",0,0
117,2019-05-01,"40","31-45","Email",2,1,"purchased",3,114
118,2019-04-24,"18","18-30","SMS",4,0,"received",0,0
119,2019-04-28,"39","31-45","Email",2,0,"received",0,0
120,2019-04-16,"66","60+","SMS",6,0,"received",0,0
121,2019-04-08,"34","31-45","SMS",2,0,"received",0,0
122,2019-04-25,"36","31-45","SMS",4,1,"bounced",0,0
123,2019-04-21,"22","18-30","SMS",6,0,"received",0,0
124,2019-04-29,"37","31-45","SMS",4,0,"received",0,0
125,2019-04-01,"29","18-30","SMS",2,1,"saw review",0,0
126,2019-04-07,"43","31-45","SMS",2,0,"received",0,0
127,2019-04-26,"64","60+","Email",4,0,"received",0,0
128,2019-04-22,"45","31-45","Email",4,0,"received",0,0
129,2019-04-16,"23","18-30","Email",2,0,"received",0,0
130,2019-04-16,"24","18-30","Email",6,0,"received",0,0
131,2019-04-07,"32","31-45","Email",2,0,"received",0,0
132,2019-04-12,"32","31-45","SMS",6,0,"received",0,0
133,2019-04-20,"30","18-30","Email",2,0,"received",0,0
134,2019-04-28,"24","18-30","Email",2,0,"received",0,0
135,2019-04-04,"31","31-45","Email",2,0,"received",0,0
136,2019-04-02,"57","46-60","SMS",2,0,"received",0,0
